case_id,iteration,panel_count,input_bytes,decoded_pixels,working_pixels,decode_preprocess_ms,ocr_ms,rules_serialize_ms,server_pipeline_ms,summary,expected_summary,expected_correct,field_validation_errors,field_mismatch_count,missing_evidence_count,false_clean_count,false_mismatch_count,field_count,active_check_count,ocr_lines,response_bytes
S01_clean_one,1,1,153924,2160000,990000,43.0,3878.24,21.41,3942.64,No differences found in checked fields,No differences found in checked fields,True,[],0,0,0,0,17,16,12,9307
S01_clean_one,2,1,153924,2160000,990000,43.76,2472.73,17.94,2534.44,No differences found in checked fields,No differences found in checked fields,True,[],0,0,0,0,17,16,12,9307
S02_title_case,1,1,152119,2160000,990000,42.64,2796.79,15.26,2854.68,Differences detected,Differences detected,True,[],0,0,0,0,17,16,12,9302
S02_title_case,2,1,152119,2160000,990000,41.83,2482.83,16.14,2540.8,Differences detected,Differences detected,True,[],0,0,0,0,17,16,12,9302
S03_abv_difference,1,1,153948,2160000,990000,44.98,2506.64,18.49,2570.11,Differences detected,Differences detected,True,[],0,0,0,0,17,16,12,9314
S03_abv_difference,2,1,153948,2160000,990000,44.32,2578.68,17.25,2640.25,Differences detected,Differences detected,True,[],0,0,0,0,17,16,12,9314
S04_missing_warning,1,1,93007,2160000,990000,42.69,2005.64,16.51,2064.84,Differences detected,Differences detected,True,[],0,0,0,0,17,16,7,8219
S04_missing_warning,2,1,93007,2160000,990000,40.55,1585.62,15.74,1641.91,Differences detected,Differences detected,True,[],0,0,0,0,17,16,7,8219
S05_glare_blur,1,1,111797,2160000,990000,42.0,3060.73,20.48,3123.21,Review needed,Review needed,True,[],0,0,0,0,17,16,12,9267
S05_glare_blur,2,1,111797,2160000,990000,41.3,2530.15,15.68,2587.13,Review needed,Review needed,True,[],0,0,0,0,17,16,12,9267
S06_decoy_abv,1,1,166166,2160000,990000,42.45,3609.63,15.83,3667.91,Differences detected,Differences detected,True,[],0,0,0,0,17,16,13,9309
S06_decoy_abv,2,1,166166,2160000,990000,42.01,2487.51,19.94,2549.46,Differences detected,Differences detected,True,[],0,0,0,0,17,16,13,9309
S07_three_panel,1,3,217038,6480000,3960000,127.33,3927.82,46.54,4101.68,No differences found in checked fields,No differences found in checked fields,True,[],0,0,0,0,17,16,13,9501
S07_three_panel,2,3,217038,6480000,3960000,124.77,2527.6,47.63,2699.99,No differences found in checked fields,No differences found in checked fields,True,[],0,0,0,0,17,16,13,9501
S08_six_panel,1,6,299632,12960000,5940000,250.65,3818.1,88.88,4157.63,No differences found in checked fields,No differences found in checked fields,True,[],0,0,0,0,17,16,13,9737
